# qx_over_a qy_over_b Re_chi Im_chi
# num_k=200, num_q=100, n_orb=8, kT=0.001, mu=0.06, omega=0.0, eta=0.002, n_processes=80
-8.6739400271676770e-01 -5.0273526221632159e-01 1.0679610512217485e+01 4.1652305350240366e-05
-8.6739400271676770e-01 -4.9268055697199509e-01 1.0679441834631284e+01 4.0837596471470403e-05
-8.6739400271676770e-01 -4.8262585172766864e-01 1.0679392016954250e+01 3.9966753212128597e-05
-8.6739400271676770e-01 -4.7257114648334225e-01 1.0679745051663554e+01 4.0194861616265309e-05
-8.6739400271676770e-01 -4.6251644123901581e-01 1.0680045534117026e+01 4.0087215036642217e-05
-8.6739400271676770e-01 -4.5246173599468936e-01 1.0680401421472670e+01 3.9883256868065146e-05
-8.6739400271676770e-01 -4.4240703075036292e-01 1.0680838583190248e+01 3.9647061645510408e-05
-8.6739400271676770e-01 -4.3235232550603647e-01 1.0681358513120637e+01 3.9386328003779355e-05
-8.6739400271676770e-01 -4.2229762026171014e-01 1.0681961357170767e+01 3.9106136399069903e-05
-8.6739400271676770e-01 -4.1224291501738369e-01 1.0682646734950469e+01 3.8810884937659090e-05
-8.6739400271676770e-01 -4.0218820977305725e-01 1.0683413759283205e+01 3.8504359324105595e-05
-8.6739400271676770e-01 -3.9213350452873080e-01 1.0684261056723026e+01 3.8189805133028291e-05
-8.6739400271676770e-01 -3.8207879928440436e-01 1.0685186790974013e+01 3.7870003197905985e-05
-8.6739400271676770e-01 -3.7202409404007797e-01 1.0686188685705426e+01 3.7547338652776305e-05
-8.6739400271676770e-01 -3.6196938879575147e-01 1.0687264045506250e+01 3.7223860514197685e-05
-8.6739400271676770e-01 -3.5191468355142508e-01 1.0688409774816840e+01 3.6901331658638342e-05
-8.6739400271676770e-01 -3.4185997830709863e-01 1.0689622395144871e+01 3.6581270233863668e-05
-8.6739400271676770e-01 -3.3180527306277219e-01 1.0690898061038999e+01 3.6264983878603925e-05
-8.6739400271676770e-01 -3.2175056781844580e-01 1.0692232575320318e+01 3.5953598090546299e-05
-8.6739400271676770e-01 -3.1169586257411935e-01 1.0693621404041226e+01 3.5648079909229829e-05
-8.6739400271676770e-01 -3.0164115732979291e-01 1.0695059691590307e+01 3.5349257874184513e-05
-8.6739400271676770e-01 -2.9158645208546646e-01 1.0696542276308570e+01 3.5057839023813439e-05
-8.6739400271676770e-01 -2.8153174684114002e-01 1.0698063706932734e+01 3.4774423533511982e-05
-8.6739400271676770e-01 -2.7147704159681363e-01 1.0699618260136265e+01 3.4499517455046838e-05
-8.6739400271676770e-01 -2.6142233635248718e-01 1.0701199959400840e+01 3.4233543911220915e-05
-8.6739400271676770e-01 -2.5136763110816074e-01 1.0702802595415173e+01 3.3976853015882757e-05
-8.6739400271676770e-01 -2.4131292586383432e-01 1.0704419748167510e+01 3.3729730725258421e-05
-8.6739400271676770e-01 -2.3125822061950788e-01 1.0706044810867704e+01 3.3492406778177498e-05
-8.6739400271676770e-01 -2.2120351537518143e-01 1.0707671015805909e+01 3.3265061846590695e-05
-8.6739400271676770e-01 -2.1114881013085501e-01 1.0709291462225867e+01 3.3047833991083845e-05
-8.6739400271676770e-01 -2.0109410488652857e-01 1.0710899146259827e+01 3.2840824496529356e-05
-8.6739400271676770e-01 -1.9103939964220218e-01 1.0712486992939963e+01 3.2644103148813121e-05
-8.6739400271676770e-01 -1.8098469439787573e-01 1.0714047890266174e+01 3.2457713003258571e-05
-8.6739400271676770e-01 -1.7092998915354929e-01 1.0715574725271845e+01 3.2281674688029903e-05
-8.6739400271676770e-01 -1.6087528390922284e-01 1.0717060421987755e+01 3.2115990280351298e-05
-8.6739400271676770e-01 -1.5082057866489645e-01 1.0718497981158240e+01 3.1960646789484837e-05
-8.6739400271676770e-01 -1.4076587342057001e-01 1.0719880521515062e+01 3.1815619277385848e-05
-8.6739400271676770e-01 -1.3071116817624356e-01 1.0721201322360235e+01 3.1680873645615068e-05
-8.6739400271676770e-01 -1.2065646293191713e-01 1.0722453867153609e+01 3.1556369115156416e-05
-8.6739400271676770e-01 -1.1060175768759069e-01 1.0723631887740963e+01 3.1442060423976777e-05
-8.6739400271676770e-01 -1.0054705244326431e-01 1.0724729408799471e+01 3.1337899765666624e-05
-8.6739400271676770e-01 -9.0492347198937867e-02 1.0725740792018117e+01 3.1243838490826344e-05
-8.6739400271676770e-01 -8.0437641954611422e-02 1.0726660779475720e+01 3.1159828591391474e-05
-8.6739400271676770e-01 -7.0382936710284977e-02 1.0727484535631122e+01 3.1085823986420258e-05
-8.6739400271676770e-01 -6.0328231465958525e-02 1.0728207687302564e+01 3.1021781626297940e-05
-8.6739400271676770e-01 -5.0273526221632080e-02 1.0728826360989759e+01 3.0967662430624023e-05
-8.6739400271676770e-01 -4.0218820977305711e-02 1.0729337216887641e+01 3.0923432073334144e-05
-8.6739400271676770e-01 -3.0164115732979262e-02 1.0729737478956721e+01 3.0889061626886444e-05
-8.6739400271676770e-01 -2.0109410488652817e-02 1.0730024960455136e+01 3.0864528075531235e-05
